,Company_Name,Rating,No_Of_Reviews,Company_Type,Location
5094,Copart,3.0,(211),Automobile,Hyderabad / Secunderabad +6 other locations
5095,Enser Communications,2.8,(211),IT Services & Consulting,Gurgaon / Gurugram +14 other locations
5096,VISTRA INTERNATIONAL EXPANSION,3.3,(211),Other,Mumbai +6 other locations
5097,Knest Manufacturers,3.4,(211),Metals & Mining,Pune +13 other locations
5098,Axio,3.7,(211),Financial Services,Bangalore / Bengaluru +25 other locations
5099,OPG Mobility,3.2,(211),New Delhi +32 other locations,
5100,Flex Technologies,4.0,(212),Chennai +10 other locations,
5101,Cube Highways,4.3,(211),Noida +49 other locations,
5102,John Crane Sealing Systems India,3.5,(211),Industrial Machinery,Bangalore / Bengaluru +6 other locations
5103,Tata CLiQ,3.0,(211),Internet,Mumbai +9 other locations
5104,GENWORKS Health,3.3,(210),Healthcare,Bangalore / Bengaluru +40 other locations
5105,Weatherford,3.6,(210),Oil & Gas,Mumbai +21 other locations
5106,IDMC,3.7,(210),Industrial Machinery,Anand +14 other locations
5107,Bombay Dyeing,3.8,(210),Fashion & Textile,Mumbai +22 other locations
5108,Rotostat Services,3.8,(210),Industrial Machinery,Mumbai +30 other locations
5109,Aia Engineering,4.0,(210),Industrial Machinery,Ahmedabad +5 other locations
5110,Third wave Coffee Roasters,3.6,(210),Internet,Bangalore / Bengaluru +10 other locations
5111,PrepLadder,2.8,(210),EdTech,Chandigarh +16 other locations
5112,MeritNation,3.2,(210),EdTech,New Delhi +20 other locations
5113,Scyo Decision Services,4.6,(210),Analytics & KPO,Chennai +2 other locations
5114,Tricon Infra Buildtech pvt.Ltd,2.9,(210),Engineering & Construction,Pune +7 other locations
5115,Grass Roots Research & Creation,4.7,(210),Analytics & KPO,New Delhi +14 other locations
5116,Jagran Prakashan,3.7,(210),Printing & Publishing,New Delhi +51 other locations
5117,Helmerich & Payne,3.8,(210),Bangalore / Bengaluru +15 other locations,
5118,Zeelab Pharmacy,3.8,(210),Pharma,New Delhi +27 other locations
5119,EagleBurgmann,4.2,(210),Industrial Machinery,Pune +19 other locations
5120,Root Industries,4.1,(210),Auto Components,Coimbatore +17 other locations
5121,Al Ahleia Switchgear,3.5,(210),Industrial Machinery,Chennai +12 other locations
5122,Krishnapatnam Port,3.9,(210),Ports & Shipping,Nellore +14 other locations
5123,Rotostat Services,3.8,(210),Industrial Machinery,Mumbai +30 other locations
5124,Meditab Software,3.1,(210),Software Product,Ahmedabad +2 other locations
5125,Zivame.com,3.6,(210),Fashion & Textile,Bangalore / Bengaluru +30 other locations
5126,Bombay Dyeing,3.8,(210),Fashion & Textile,Mumbai +22 other locations
5127,Prakash Industries,3.8,(210),Metals & Mining,Champa +37 other locations
5128,SpeedLabs,3.6,(210),EdTech,Mumbai +15 other locations
5129,Zamil Air Conditioners,4.0,(210),Consumer Electronics & Appliances,New Delhi +23 other locations
5130,Elsamex Maintenance Services,4.0,(210),Facility Management Services,Ahmedabad +46 other locations
5131,Fortis Memorial Research Institute,4.0,(210),Clinical Research,Gurgaon / Gurugram +8 other locations
5132,Koye Pharmaceuticals,3.1,(210),Pharma,Mumbai +43 other locations
5133,AARGEE STAFFING SERVICES,3.7,(209),Recruitment,Mumbai +16 other locations
5134,HOLITECH INDIA,4.0,(209),Electronics Manufacturing,Greater Noida +12 other locations
5135,AGIO Pharmaceuticals,2.7,(209),Pharma,Pune +9 other locations
5136,Cogent,3.2,(209),IT Services & Consulting,Bangalore / Bengaluru +25 other locations
5137,Ziff Davis Performance Marketing,3.6,(209),Marketing & Advertising,Pune +3 other locations
5138,Walter Bushnell,3.1,(209),Pharma,Gurgaon / Gurugram +50 other locations
5139,Microlink Solutions,4.0,(209),IT Services & Consulting,Ahmedabad +32 other locations
5140,Optimus Drugs,4.0,(209),Pharma,Hyderabad / Secunderabad +6 other locations
5141,Alp Consulting,3.4,(209),Recruitment,Bangalore / Bengaluru +18 other locations
5142,Ramky Group,4.3,(209),Engineering & Construction,Hyderabad / Secunderabad +35 other locations
5143,Paramatrix Technologies,4.1,(209),Software Product,Mumbai +4 other locations
5144,Jyoti Structures,4.0,(210),Power,Mumbai +43 other locations
5145,Ishan Technologies,3.6,(209),Internet,Ahmedabad +36 other locations
5146,ContinuServe Softech India,3.3,(209),BPO,Bangalore / Bengaluru +4 other locations
5147,Khanna Paper Mills,4.0,(209),Pulp & Paper,Amritsar +14 other locations
5148,Dunnhumby,3.8,(209),Analytics & KPO,Gurgaon / Gurugram +5 other locations
5149,Jm Frictech,3.3,(209),Industrial Machinery,Chennai +9 other locations
5150,Ganit Inc,3.8,(209),IT Services & Consulting,Chennai +7 other locations
5151,Integrated Personnel Services Limited,4.0,(209),Recruitment,Mumbai +34 other locations
5152,Torque Pharmaceuticals,3.8,(209),Pharma,Chandigarh +33 other locations
5153,Geo Chem Laboratories,3.7,(209),Industrial Machinery,Mumbai +21 other locations
5154,Manipal Business Solutions,3.6,(209),Gurgaon / Gurugram +56 other locations,
5155,Hindustan PowerProjects,3.7,(209),Power,Anuppur +18 other locations
5156,ARB Bearings,3.6,(210),Auto Components,New Delhi +19 other locations
5157,Sri Gopikrishna Infrastructure,3.9,(208),Engineering & Construction,Hyderabad / Secunderabad +43 other locations
5158,Chrysalis High,4.1,(208),Bangalore / Bengaluru +2 other locations,
5159,Gensol Engineering,3.7,(208),Power,Ahmedabad +23 other locations
5160,Chhatrapati Shivaji International Airport,3.6,(208),Real Estate,Mumbai +8 other locations
5161,UGC Supply Chain Solutions,2.8,(208),Logistics,Pune +22 other locations
5162,NOVO Medisciences,3.3,(208),Pharma,Mumbai +32 other locations
5163,MEDICO Healthcare Services & Technologies,3.1,(208),Healthcare,Hyderabad / Secunderabad +11 other locations
5164,Girnar Care,3.5,(208),BPO,Jaipur +17 other locations
5165,HEPL - A Cavinkare Group Company,3.4,(208),Cuddalore +17 other locations,
5166,Cotecna Inspection India,3.6,(208),Analytics & KPO,Mumbai +34 other locations
5167,Verticurl,3.2,(208),Coimbatore +6 other locations,
5168,Putzmeister Concrete Machines,3.6,(208),Industrial Machinery,New Delhi +28 other locations
5169,Mining Engineering Services,3.5,(208),Metals & Mining,Vadodara +15 other locations
5170,Shriram Fortune Solutions,3.6,(208),Financial Services,Gurgaon / Gurugram +96 other locations
5171,RateGain,3.8,(208),IT Services & Consulting,Noida +6 other locations
5172,Su-Kam Power Systems,3.4,(208),Power,Gurgaon / Gurugram +44 other locations
5173,Moreish Food,3.1,(208),Food Processing,Kolkata +25 other locations
5174,Bosch Power Tools,4.2,(208),Industrial Machinery,Chennai +38 other locations
5175,BoAt,4.2,(217),Consumer Electronics & Appliances,Mumbai +16 other locations
5176,Beri Udyog,3.8,(208),Industrial Machinery,Karnal +16 other locations
5177,Innover Digital,4.1,(208),IT Services & Consulting,Kolkata +7 other locations
5178,Red FM 93.5,3.9,(208),Broadcasting,Bangalore / Bengaluru +51 other locations
5179,ASSA ABLOY,3.4,(208),Real Estate,Chennai +33 other locations
5180,BoAt,4.2,(217),Consumer Electronics & Appliances,Mumbai +16 other locations
5181,Genzeon (India) Private Limited,3.9,(209),IT Services & Consulting,Hyderabad / Secunderabad +3 other locations
5182,Biryani By Kilo,4.2,(208),Hospitality,Gurgaon / Gurugram +29 other locations
5183,Bharat Institutions,3.5,(207),Education & Training,Hyderabad / Secunderabad +7 other locations
5184,KPR Mill,3.9,(207),Fashion & Textile,Coimbatore +20 other locations
5185,AWC Software,3.8,(208),IT Services & Consulting,Noida +14 other locations
5186,Development Consultants,3.3,(207),IT Services & Consulting,Kolkata +15 other locations
5187,Ankura Hospital,3.8,(207),Healthcare,Hyderabad / Secunderabad +10 other locations
5188,Fleet Management,4.0,(207),Ports & Shipping,Mumbai +22 other locations
5189,Pie Infocomm,4.5,(207),IT Services & Consulting,Lucknow +7 other locations
5190,Vidya Mandir Classes,3.5,(207),EdTech,New Delhi +38 other locations
5191,MMTC-PAMP,3.7,(207),Metals & Mining,Gurgaon / Gurugram +19 other locations
5192,CallHealth,3.6,(207),Healthcare,Hyderabad / Secunderabad +17 other locations
5193,Qi Spine Clinic,3.1,(207),Healthcare,Mumbai +13 other locations
5194,Supreme Treon,3.9,(207),Auto Components,Pune +26 other locations
5195,Bilt Graphic Paper Products,3.7,(207),Pulp & Paper,Pune +11 other locations
5196,HTL,3.6,(208),Telecom,Chennai +10 other locations
5197,YouTube,4.5,(207),Internet,New Delhi +42 other locations
5198,Maxinfra,4.1,(207),Real Estate,Hyderabad / Secunderabad +26 other locations
5199,Navitas Life Sciences,3.5,(207),Clinical Research,Chennai +7 other locations
5200,Teachers Insurance and Annuity Association of America,3.8,(207),Financial Services,Pune +4 other locations
5201,Anri Solutions HR Services,4.0,(208),Recruitment,New Delhi +6 other locations
5202,SITA,3.9,(207),IT Services & Consulting,Gurgaon / Gurugram +29 other locations
5203,Texspin Bearings,4.1,(207),Auto Components,Ahmedabad +19 other locations
5204,Amrita Vishwa Vidyapeetham,3.8,(207),Education & Training,Coimbatore +15 other locations
5205,Bondada Engineering,3.6,(207),Engineering & Construction,Hyderabad / Secunderabad +41 other locations
5206,FAIRWAY ENTERPRISES,3.9,(207),Leather,Krishnagiri +9 other locations
5207,TATA MEDICAL CENTER,3.7,(207),Healthcare,Kolkata +5 other locations
5208,Emirates Flight Catering,4.3,(207),Hospitality,Dubai +12 other locations
5209,Armstrong Robotics & Technologies Private Limited,3.9,(207),Industrial Automation,Nashik +13 other locations
5210,Cummins Generator Technologies,4.1,(206),Industrial Machinery,Pune +18 other locations
5211,Shopclues,3.3,(206),Internet,Gurgaon / Gurugram +7 other locations
5212,BMW Industries,3.6,(206),Iron & Steel,Kolkata +16 other locations
5213,S.c Johnson Products,4.1,(206),FMCG,Gurgaon / Gurugram +52 other locations
5214,Magicrete Building Solutions,3.8,(206),Building Material,Surat +27 other locations
5215,Inchcape Shipping Services,3.4,(206),Ports & Shipping,Chennai +14 other locations
5216,Chitkara University,4.0,(206),Chandigarh +8 other locations,
5217,Vinove Software & Services,3.0,(206),IT Services & Consulting,Noida +4 other locations
5218,AYM Syntex,3.5,(207),Fashion & Textile,Silvassa / Dadra & Nagar Haveli +9 other locations
5219,LetsTransport,3.5,(206),Logistics,Bangalore / Bengaluru +27 other locations
5220,BetterPlace Safety Solutions,3.5,(206),IT Services & Consulting,Bangalore / Bengaluru +11 other locations
5221,LetsTransport,3.5,(206),Logistics,Bangalore / Bengaluru +27 other locations
5222,Lingaya's Vidyapeeth,4.6,(206),Education & Training,Faridabad +4 other locations
5223,Eternis Fine Chemicals,3.4,(206),Chemicals,Pune +8 other locations
5224,Tci Freight,4.1,(206),Logistics,Gurgaon / Gurugram +44 other locations
5225,Kinetic Green Energy And Power Solutions,3.2,(206),Power,Pune +27 other locations
5226,Ajax Engineering,4.0,(206),Engineering & Construction,Bangalore / Bengaluru +28 other locations
5227,CBSI,3.3,(206),Recruitment,Bangalore / Bengaluru +14 other locations
5228,Rubamin,4.0,(206),Chemicals,Vadodara +6 other locations
5229,Satyesh Brinechem,3.2,(206),Chemicals,Bhuj +12 other locations
5230,UL Solutions,3.9,(206),"Testing, Inspection and Certification (TIC)",Bangalore / Bengaluru +9 other locations
5231,The Mission Hospital,3.8,(206),Healthcare,Durgapur +23 other locations
5232,Rohan Motors,3.6,(206),Automobile,New Delhi +19 other locations
5233,Qdigi Services,3.3,(206),Recruitment,Noida +43 other locations
5234,Jakson Green,4.3,(207),Noida +33 other locations,
5235,Garware Hi-Tech Films,4.1,(206),Packaging,Aurangabad +9 other locations
5236,Jindal Worldwide,3.5,(206),Fashion & Textile,Ahmedabad +5 other locations
5237,ASP OL Media,4.2,(205),Marketing & Advertising,Pune +6 other locations
5238,Teleone,3.6,(205),Internet,New Delhi +20 other locations
5239,Career Launcher,3.7,(205),Education & Training,New Delhi +42 other locations
5240,Brainium Information Technologies,3.8,(205),IT Services & Consulting,Kolkata +1 other locations
5241,Praxis home Retail,4.2,(205),Retail,Mumbai +29 other locations
5242,Prem Henna,3.4,(205),Beauty & Personal Care,Indore +52 other locations
5243,John Deere Financial,4.3,(205),NBFC,Pune +57 other locations
5244,Chiripal Poly Films,4.2,(206),Packaging,Ahmedabad +11 other locations
5245,Anglo-Eastern Ship Management,4.1,(205),Ports & Shipping,Mumbai +15 other locations
5246,Valueonshore Advisors,3.8,(205),Management Consulting,Gurgaon / Gurugram +5 other locations
5247,Orange Retail Finance,3.8,(205),Financial Services,Chennai +56 other locations
5248,Mold-Tek Technologies,3.5,(205),IT Services & Consulting,Hyderabad / Secunderabad +12 other locations
5249,RAKS Pharma,4.3,(206),Pharma,Visakhapatnam +11 other locations
5250,Carzonrent,3.4,(205),Travel & Tourism,New Delhi +15 other locations
5251,Aneja Associates,3.2,(205),Accounting & Auditing,Mumbai +10 other locations
5252,Nahars Engineering India,3.3,(205),Auto Components,Bangalore / Bengaluru +10 other locations
5253,Busy Infotech,3.9,(205),Software Product,New Delhi +29 other locations
5254,Infiiloom,3.2,(205),Fashion & Textile,Pune +15 other locations
5255,OSI Digital,3.6,(205),IT Services & Consulting,Hyderabad / Secunderabad +4 other locations
5256,Crimson Interactive,2.6,(205),Content Development,Mumbai +4 other locations
5257,Ileads Auxiliary Services,3.1,(205),BPO,Dehradun +11 other locations
5258,Turito,3.0,(205),EdTech,Hyderabad / Secunderabad +7 other locations
5259,Continental Hospitals,3.8,(205),Healthcare,Hyderabad / Secunderabad +3 other locations
5260,OSI Digital,3.6,(205),IT Services & Consulting,Hyderabad / Secunderabad +4 other locations
5261,Turito,3.0,(205),EdTech,Hyderabad / Secunderabad +7 other locations
5262,Continental Hospitals,3.8,(205),Healthcare,Hyderabad / Secunderabad +3 other locations
5263,Infiiloom,3.2,(205),Fashion & Textile,Pune +15 other locations
5264,Crimson Interactive,2.6,(205),Content Development,Mumbai +4 other locations
5265,Ebixcash World Money,3.6,(205),FinTech,Mumbai +37 other locations
5266,Keolis Hyderabad Metro,3.9,(205),Urban Transport,Hyderabad / Secunderabad +4 other locations
5267,Aarti Pharmalabs,3.7,(217),Pharma,Mumbai +14 other locations
5268,Ashv Finance,4.1,(205),Mumbai +37 other locations,
5269,Chaitanya Projects Consultancy,3.9,(205),Financial Services,Noida +51 other locations
5270,Wanbury,3.5,(204),Pharma,Mumbai +31 other locations
5271,CRB Tech Solution,3.7,(204),EdTech,Pune +8 other locations
5272,Peps Industries,4.0,(204),Furniture & Furnishing,Coimbatore +48 other locations
5273,Analytix Business Solutions,3.4,(204),Analytics & KPO,Ahmedabad +8 other locations
5274,Zinnov Management Consulting,3.2,(204),Management Consulting,Bangalore / Bengaluru +13 other locations
5275,Emami Frank Ross,3.6,(204),Retail,Kolkata +23 other locations
5276,Taggd,3.2,(204),Recruitment,Gurgaon / Gurugram +16 other locations
5277,Moody's,3.9,(204),Analytics & KPO,Bangalore / Bengaluru +7 other locations
5278,Ayesa,4.0,(204),IT Services & Consulting,New Delhi +12 other locations
5279,Bhima Gold,3.9,(204),Jewellery,Bangalore / Bengaluru +32 other locations
5280,Atidiv,2.9,(204),IT Services & Consulting,Pune +2 other locations
5281,TEOCO Software,3.8,(204),IT Services & Consulting,Kolkata +9 other locations
5282,Network Intelligence India,3.2,(204),Law Enforcement & Security,Mumbai +8 other locations
5283,AGROCEL INDUSTRIES,4.4,(204),Chemicals,Bhuj +24 other locations
5284,SPRAY ENGINEERING DEVICES,4.2,(204),Industrial Machinery,Mohali +13 other locations
5285,Wardwizard Innovations & Mobility,3.4,(204),Automobile,Vadodara +50 other locations
5286,Innovalance Learning Systems,3.2,(204),EdTech,New Delhi +11 other locations
5287,Orthosquare Dental Clinic,4.6,(204),Healthcare,Mumbai +26 other locations
5288,Mitsubishi Heavy Industries,4.2,(204),Industrial Machinery,Mysuru / Mysore +31 other locations
5289,Relevantz Technology Services,3.7,(204),IT Services & Consulting,Chennai +6 other locations
5290,IFB Automotive,3.8,(203),Auto Components,Bangalore / Bengaluru +19 other locations
5291,Alpha Design Technologies,3.5,(203),Defence & Aerospace,Bangalore / Bengaluru +13 other locations
5292,Elofic Industries,4.0,(203),Auto Components,Faridabad +17 other locations
5293,Vishay Components,4.2,(203),Electronics Manufacturing,Pune +7 other locations
5294,Arihant Publications,3.5,(203),Printing & Publishing,New Delhi +21 other locations
5295,Centrient Pharmaceuticals,3.8,(203),Pharma,Chandigarh +16 other locations
5296,Special Technical Services,4.1,(203),Oil & Gas,Muscat +16 other locations
5297,HIVELOOP LOGISTICS,4.2,(203),Bangalore / Bengaluru +69 other locations,
5298,TNT Express,4.0,(203),Logistics,Mumbai +33 other locations
5299,Mazars,2.9,(203),Accounting & Auditing,Gurgaon / Gurugram +14 other locations
5300,NATIONAL SKILL DEVELOPMENT CORPORATION,3.5,(203),Non-Profit,New Delhi +50 other locations
5301,SBL,3.7,(203),IT Services & Consulting,New Delhi +30 other locations
5302,Soothe Healthcare,3.3,(204),Healthcare,New Delhi +42 other locations
5303,C DOT,3.7,(203),Telecom,New Delhi +14 other locations
5304,Marsh,4.3,(203),Insurance,Mumbai +10 other locations
5305,Hyundai Motor India Engineering,3.8,(203),IT Services & Consulting,Hyderabad / Secunderabad +9 other locations
5306,NGK Spark Plugs,4.1,(203),Auto Components,Bawal +19 other locations
5307,Videojet Technologies,3.8,(203),Consumer Electronics & Appliances,Mumbai +25 other locations
5308,Bsr Infratech India,3.8,(203),Engineering & Construction,Bangalore / Bengaluru +12 other locations
5309,Placementindia.com,4.9,(204),Recruitment,New Delhi +2 other locations
5310,First Citizens India,3.9,(203),Financial Services,Bangalore / Bengaluru +3 other locations
5311,Tps Infrastructure,4.2,(203),Industrial Machinery,Bhiwadi +15 other locations
5312,Consilio,3.7,(203),Legal,Bangalore / Bengaluru +7 other locations
5313,Sahajanand Laser Technology,3.2,(203),Industrial Machinery,Gandhinagar +23 other locations
5314,Kopran,3.8,(203),Pharma,Mumbai +17 other locations
5315,Fulcrum Digital,3.5,(203),IT Services & Consulting,Pune +5 other locations
5316,SAMCO Securities,3.8,(203),Financial Services,Mumbai +11 other locations
5317,Bodal Chemicals,3.5,(203),Chemicals,Vadodara +17 other locations
5318,DigiCall Teleservices,4.0,(202),Telecom,Noida +13 other locations
5319,CONTUS TECH,4.3,(202),IT Services & Consulting,Chennai +3 other locations
5320,Gulbrandsen,4.1,(202),Chemicals,Vadodara +11 other locations
5321,Sendan International Co,2.1,(202),Engineering & Construction,Al Jubail +20 other locations
5322,KisanKraft Machine Tools,3.4,(202),Industrial Machinery,Bangalore / Bengaluru +20 other locations
5323,SSEM,3.3,(202),Industrial Machinery,Riyadh +18 other locations
5324,Hgs Services,3.8,(202),Analytics & KPO,Bangalore / Bengaluru +20 other locations
5325,BajajSons,3.6,(202),Automobile,Ludhiana +9 other locations
5326,M Swasth Solutions,3.4,(203),Gurgaon / Gurugram +41 other locations,
5327,ITCube Solutions,3.0,(202),IT Services & Consulting,Pune +9 other locations
5328,Country Inns & Suites,4.0,(202),Hospitality,New Delhi +25 other locations
5329,ZingHR,3.1,(202),IT Services & Consulting,Mumbai +9 other locations
5330,Upstox,3.5,(203),FinTech,Mumbai +19 other locations
5331,Decimal Technologies,2.9,(202),Software Product,Gurgaon / Gurugram +10 other locations
5332,Data Patterns,3.4,(202),Defence & Aerospace,Chennai +11 other locations
5333,Graviti Pharmaceuticals,3.2,(202),Pharma,Hyderabad / Secunderabad +5 other locations
5334,Excellon Software,4.2,(202),Software Product,Pune +4 other locations
5335,Pathfinder Business Analysis,3.4,(202),Management Consulting,Coimbatore +14 other locations
5336,QUADRANT RESOURCE LLC,4.1,(202),Recruitment,Hyderabad / Secunderabad +7 other locations
5337,Toppan Merrill,3.8,(202),Financial Services,Chennai +2 other locations
5338,Tbea Energy,3.9,(202),Electrical Equipment,Vadodara +17 other locations
5339,Indo National Limited (Nippo),4.1,(203),FMCG,Chennai +53 other locations
5340,Toshiba Water Solutions,3.8,(202),Waste Management,Gurgaon / Gurugram +20 other locations
5341,ATS Homekraft,4.1,(202),Real Estate,Noida +7 other locations
5342,Ascendum KPS,3.6,(202),Ahmedabad +10 other locations,
5343,Lauren Information Technologies,3.6,(202),IT Services & Consulting,Mumbai +17 other locations
5344,Stashfin,4.0,(202),FinTech,New Delhi +18 other locations
5345,ECOS (I) MOBILITY & HOSPITALITY,4.0,(202),Sports & Recreation,New Delhi +12 other locations
5346,Quest Diagnostics,4.4,(202),Healthcare,Hyderabad / Secunderabad +11 other locations
5347,Mordor Intelligence,3.0,(202),Analytics & KPO,Hyderabad / Secunderabad +3 other locations
5348,Shanthi Gears,3.4,(202),Auto Components,Coimbatore +13 other locations
5349,Hi Tech Informatics,3.5,(203),IT Services & Consulting,Mumbai +48 other locations
5350,Alghanim International,4.2,(203),Engineering & Construction,Kuwait City +12 other locations
5351,Pradan,3.8,(202),Non-Profit,New Delhi +58 other locations
5352,Milan Laboratories India Private Limited,3.8,(202),Pharma,Mumbai +17 other locations
5353,ACT Plast Paints,3.8,(202),Chemicals,Chennai +13 other locations
5354,OptimHire,3.5,(202),Internet,Hyderabad / Secunderabad +6 other locations
5355,ZKTeco Biometrics,3.0,(202),Law Enforcement & Security,Bangalore / Bengaluru +11 other locations
5356,Rossari Biotech,3.9,(202),Chemicals,Mumbai +24 other locations
5357,Andhra Pradesh State Skill Development Corporation,3.9,(201),Non-Profit,Vijayawada +31 other locations
5358,B2x Service Solutions,3.9,(201),BPO,Mumbai +32 other locations
5359,Rajesh Motors,3.8,(201),Automobile,Jaipur +27 other locations
5360,Wingreens Farms,4.0,(201),Power,Gurgaon / Gurugram +21 other locations
5361,Lokesh Machines,3.7,(201),Industrial Machinery,Hyderabad / Secunderabad +12 other locations
5362,Kh Exports,3.9,(201),Import & Export,Chennai +8 other locations
5363,Mol Information Processing Services India,3.6,(201),IT Services & Consulting,Kolkata +6 other locations
5364,Fisdom,3.4,(201),Financial Services,Bangalore / Bengaluru +31 other locations
5365,Radhakrishna Foodland,3.8,(202),Logistics,Mumbai +31 other locations
5366,Praxair,4.1,(201),Chemicals,Bangalore / Bengaluru +28 other locations
5367,Jay Ushin,4.0,(201),Auto Components,Gurgaon / Gurugram +13 other locations
5368,BPO+,4.3,(201),BPO,New Delhi +46 other locations
5369,Vinculum Solutions,2.5,(201),IT Services & Consulting,Noida +5 other locations
5370,Bonito Designs,3.1,(206),Architecture & Interior Design,Bangalore / Bengaluru +4 other locations
5371,TP Southern Odisha Distribution,3.5,(202),Berhampur +23 other locations,
5372,Malayala Manorama,3.8,(201),Printing & Publishing,Kottayam +23 other locations
5373,Petronas Lubricants,3.2,(201),Petrochemicals,Mumbai +34 other locations
5374,LNV Technology,3.7,(201),Industrial Machinery,Chennai +30 other locations
5375,Izmo,3.0,(201),IT Services & Consulting,Bangalore / Bengaluru +5 other locations
5376,Pran Beverages India,3.7,(201),Beverage,Kolkata +52 other locations
5377,Dr Oetker,4.2,(201),Food Processing,New Delhi +32 other locations
5378,Sigma Freudenberg NOK,4.1,(201),Auto Components,Chennai +17 other locations
5379,Raheja Developers,2.7,(201),Real Estate,Gurgaon / Gurugram +6 other locations
5380,UST BlueConch Technologies,3.6,(201),Software Product,Pune +6 other locations
5381,SAS,4.2,(201),IT Services & Consulting,Pune +21 other locations
5382,Bikaji Foods,4.1,(201),FMCG,Bikaner +49 other locations
5383,Tokai Imperial Rubber India,4.0,(201),Industrial Machinery,Faridabad +11 other locations
5384,GEETANJALI HOMESTATE,3.7,(201),Real Estate,Gurgaon / Gurugram +5 other locations
5385,Aziro (formerly MSys Technoloigies),3.9,(201),Software Product,Chennai +4 other locations
5386,Freedom Employability Academy,4.1,(201),Education & Training,New Delhi +41 other locations
5387,Caretel Infotech,3.5,(200),Analytics & KPO,New Delhi +10 other locations
5388,REI Systems,3.9,(200),IT Services & Consulting,Pune
5389,Kazo Fashion,3.3,(200),Fashion & Textile,New Delhi +34 other locations
5390,Codeyoung,3.6,(205),Bangalore / Bengaluru +6 other locations,
5391,Anlage Infotech,2.9,(200),IT Services & Consulting,Bangalore / Bengaluru +15 other locations
5392,Govt. Medical College,4.1,(200),Education & Training,Chandigarh +71 other locations
5393,SmartStream Technologies,3.5,(200),IT Services & Consulting,Bangalore / Bengaluru +6 other locations
5394,Raksha TPA,4.1,(200),Insurance,Faridabad +22 other locations
5395,InSync Analytics,2.5,(201),Analytics & KPO,Mumbai +5 other locations
5396,Destek Infosolutions,3.9,(200),IT Services & Consulting,Pune +4 other locations
5397,Futaba Industrial Gujarat,4.4,(200),Auto Components,Ahmedabad +11 other locations
5398,Victora Industries,3.7,(205),Auto Components,Faridabad +10 other locations
5399,MaRS Planning & Engineering Services,4.0,(200),Engineering & Construction,Ahmedabad +61 other locations
5400,Quest Global Technologies,3.5,(200),IT Services & Consulting,Bangalore / Bengaluru +17 other locations
5401,Victora Industries,3.7,(205),Auto Components,Faridabad +10 other locations
5402,Northern Arc Capital,3.7,(200),NBFC,Chennai +49 other locations
5403,St Regis,4.1,(200),Hospitality,Mumbai +13 other locations
5404,Vnr Seeds,4.0,(200),Agriculture,Raipur +49 other locations
5405,Bharat Broadband Network,3.8,(200),Telecom,New Delhi +70 other locations
5406,Prologic Web Solutions,4.0,(200),IT Services & Consulting,Noida +20 other locations
5407,Precision Camshafts,3.2,(200),Auto Components,Solapur +5 other locations
5408,MaRS Planning & Engineering Services,4.0,(200),Engineering & Construction,Ahmedabad +61 other locations
5409,Apex Hospital,3.9,(200),Healthcare,Jaipur +33 other locations
5410,DAZN,2.5,(200),Media & Entertainment,Hyderabad / Secunderabad +5 other locations
5411,Travel Boutique Online,3.3,(200),Travel & Tourism,Gurgaon / Gurugram +15 other locations
5412,Shaw Toyota,4.9,(199),Automobile,Pune +3 other locations
5413,PES Engineers,4.2,(199),Engineering & Construction,Hyderabad / Secunderabad +35 other locations
5414,Ramoji Film City,4.1,(199),Media & Entertainment,Hyderabad / Secunderabad +11 other locations
5415,MSC Technology India,4.1,(199),IT Services & Consulting,Chennai +7 other locations
5416,Parker Hannifin,3.6,(199),Engineering & Construction,Chennai +14 other locations
5417,Utkal Alumina International,4.2,(199),Chemicals,Rayagada +12 other locations
5418,Dishnet Wireless,4.3,(199),Telecom,Kolkata +44 other locations
5419,Ways2excel,4.4,(199),EdTech,Kolkata +1 other locations
5420,Kerakoll,4.2,(199),Building Material,Vadodara +46 other locations
5421,Sagitec Solutions,3.3,(199),IT Services & Consulting,Pune +5 other locations
5422,Siemens PLM Software,4.0,(199),Industrial Automation,Pune +12 other locations
5423,Mfine,3.7,(199),Internet,Bangalore / Bengaluru +15 other locations
5424,UFO Moviez,2.9,(199),Media & Entertainment,Mumbai +31 other locations
5425,RineX,3.7,(199),Bangalore / Bengaluru +15 other locations,
5426,E Pack Polymers,3.8,(199),Packaging,Greater Noida +17 other locations
5427,Janatics India,4.0,(199),Industrial Automation,Coimbatore +25 other locations
5428,Reserve Bank Information Technology,3.3,(199),IT Services & Consulting,Mumbai +7 other locations
5429,Heads Up For Tails,3.7,(199),Retail,Gurgaon / Gurugram +20 other locations
5430,Mercurius Advisory Services,4.1,(199),Accounting & Auditing,New Delhi +1 other locations
5431,Roulunds Braking,3.6,(199),Auto Components,Sonipat +8 other locations
5432,Skandhanshi Infra Projects,4.3,(199),Real Estate,Kurnool +9 other locations
5433,IIMT Group of Colleges,4.2,(199),Education & Training,Greater Noida +15 other locations
5434,SMC Power Generation,3.7,(199),Iron & Steel,Jharsuguda +11 other locations
5435,Avaali Solutions,4.4,(198),IT Services & Consulting,Bangalore / Bengaluru
5436,Dalmia-OCL,4.0,(198),Building Material,Rourkela +30 other locations
5437,Embio,3.9,(198),Pharma,Mahad +10 other locations
5438,Ecolab,3.5,(198),Waste Management,Pune +14 other locations
