,Company_Name,Rating,No_Of_Reviews,Company_Type,Location
1824,Quest Retail Private Limited,4.1,(580),Retail,Gurgaon / Gurugram +64 other locations
1825,EaseMyTrip.com,4.0,(580),Internet,New Delhi +8 other locations
1826,Jubilant Generics,3.9,(579),Pharma,Roorkee +25 other locations
1827,BEML,3.8,(579),Industrial Machinery,Bangalore / Bengaluru +37 other locations
1828,HLL Lifecare,3.7,(579),Healthcare,Thiruvananthapuram +115 other locations
1829,Ofbusiness,3.0,(581),Internet,Gurgaon / Gurugram +40 other locations
1830,Vadilal Industries,4.1,(580),FMCG,Ahmedabad +85 other locations
1831,IKEA,3.9,(579),Retail,Bangalore / Bengaluru +23 other locations
1832,Hilton,4.1,(579),Hospitality,Bangalore / Bengaluru +40 other locations
1833,Pathkind Diagnostics Private Limited,3.9,(578),Healthcare,New Delhi +97 other locations
1834,Pamac Finserve,3.2,(577),BPO,Mumbai +59 other locations
1835,Blackrock,3.5,(577),Financial Services,Gurgaon / Gurugram +18 other locations
1836,Jindal Poly Films,3.6,(577),Packaging,Nashik +19 other locations
1837,PTC,4.2,(577),Software Product,Pune +41 other locations
1838,Consulting Engineers Group,4.1,(577),Engineering & Construction,Jaipur +70 other locations
1839,APL Apollo Tubes,4.0,(575),Iron & Steel,Raipur +47 other locations
1840,GAMMON INDIA,3.7,(575),Engineering & Construction,Mumbai +70 other locations
1841,NLC India Limited,4.4,(575),Metals & Mining,Neyveli +26 other locations
1842,Gandhi Automations,4.0,(574),Industrial Machinery,Mumbai +24 other locations
1843,AVEVA,4.0,(574),Software Product,Hyderabad / Secunderabad +14 other locations
1844,Wood Group,3.8,(574),Engineering & Construction,Chennai +30 other locations
1845,Belstar Microfinance,3.9,(574),NBFC,Chennai +209 other locations
1846,HBL Power Systems,4.0,(573),Electrical Equipment,Hyderabad / Secunderabad +50 other locations
1847,Cvent,3.2,(572),Software Product,Gurgaon / Gurugram +9 other locations
1848,Anmol Industries,3.9,(572),FMCG,Kolkata +87 other locations
1849,SoftAge Information Technology,3.6,(572),IT Services & Consulting,Gurgaon / Gurugram +127 other locations
1850,Sterling Oil Exploration & Energy Production,3.6,(571),Oil & Gas,Lagos +22 other locations
1851,Amway India Enterprises,4.1,(572),Fitness & Wellness,Gurgaon / Gurugram +80 other locations
1852,WayCool Foods and Products,3.4,(570),FMCG,Chennai +42 other locations
1853,TSYS|Total System Services,4.1,(570),FinTech,Pune +10 other locations
1854,Eli Lilly and Company,3.5,(569),Pharma,Bangalore / Bengaluru +18 other locations
1855,Crystal Crop Protection,3.8,(569),Agro Chemicals,New Delhi +89 other locations
1856,Myk Laticrete,3.9,(569),Building Material,Hyderabad / Secunderabad +83 other locations
1857,Maharashtra State Electricity Distribution Company,4.2,(568),Power,Pune +90 other locations
1858,Army Public School,4.0,(568),Education & Training,New Delhi +93 other locations
1859,SIS Prosegur Holdings,3.4,(568),Law Enforcement & Security,New Delhi +90 other locations
1860,Colt Technology Services,4.2,(568),Hardware & Networking,Gurgaon / Gurugram +13 other locations
1861,Axiscades,3.1,(568),IT Services & Consulting,Bangalore / Bengaluru +12 other locations
1862,AVIOM,4.0,(567),NBFC,New Delhi +189 other locations
1863,Dr. Reddy's Foundation,3.7,(566),Non-Profit,Hyderabad / Secunderabad +88 other locations
1864,Perficient,3.7,(565),IT Services & Consulting,Chennai +11 other locations
1865,Fenesta Building Systems,4.0,(565),Building Material,Gurgaon / Gurugram +73 other locations
1866,Dishman Carbogen Amcis,3.5,(565),Ahmedabad +14 other locations,
1867,Hettich,3.7,(564),Furniture & Furnishing,Mumbai +45 other locations
1868,PayU Payments,3.4,(564),FinTech,Gurgaon / Gurugram +22 other locations
1869,Accion Labs,3.5,(563),IT Services & Consulting,Bangalore / Bengaluru +13 other locations
1870,Orra Fine Jewellery,3.4,(563),Jewellery,Mumbai +50 other locations
1871,Ascent HR Technologies Private Limited,3.6,(562),Software Product,Bangalore / Bengaluru +15 other locations
1872,United Spirits,4.0,(562),Beverage,Bangalore / Bengaluru +96 other locations
1873,Pinnacle Infotech,3.4,(563),IT Services & Consulting,Durgapur +19 other locations
1874,J K Fenner,3.9,(562),Engineering & Construction,Chennai +56 other locations
1875,Aurionpro Solutions,3.4,(561),Software Product,Mumbai +48 other locations
1876,Varindera Constructions,4.4,(561),Engineering & Construction,New Delhi +25 other locations
1877,Capital Numbers Infotech,4.2,(561),IT Services & Consulting,Kolkata +9 other locations
1878,Apitoria Pharma,4.2,(562),Pharma,Hyderabad / Secunderabad +12 other locations
1879,Lulu International Shopping Mall,3.7,(561),Retail,Lucknow +41 other locations
1880,Baker Hughes,4.1,(560),Oil & Gas,Bangalore / Bengaluru +38 other locations
1881,PureSoftware,2.9,(560),Software Product,Noida +11 other locations
1882,Levi Strauss & Co.,4.2,(560),Fashion & Textile,Bangalore / Bengaluru +80 other locations
1883,Toyota Industries Engine India,4.4,(560),Auto Components,Bangalore / Bengaluru +15 other locations
1884,Courtyard by Marriott,4.1,(559),Hospitality,Mumbai +41 other locations
1885,Toothsi,2.7,(559),Internet,Mumbai +19 other locations
1886,Genesys International Corporation,3.4,(559),IT Services & Consulting,Mumbai +16 other locations
1887,Lear Corporation,4.0,(558),Auto Components,Pune +19 other locations
1888,Applied Materials,3.7,(558),Semiconductors,Bangalore / Bengaluru +11 other locations
1889,Transport Corporation Of India,3.8,(558),Logistics,Gurgaon / Gurugram +82 other locations
1890,McCain Foods,4.1,(558),FMCG,Mehsana +72 other locations
1891,The Saraswat Co-operative Bank,3.2,(558),Banking,Mumbai +34 other locations
1892,Herbalife International,4.0,(558),Healthcare,Bangalore / Bengaluru +84 other locations
1893,Damco Solutions,3.6,(557),IT Services & Consulting,Noida +23 other locations
1894,BAXY,4.1,(570),Auto Components,Bhiwadi +38 other locations
1895,Expleo Group,3.4,(557),IT Services & Consulting,Pune +9 other locations
1896,Prochant,3.9,(556),Analytics & KPO,Chennai +9 other locations
1897,HashedIn by Deloitte,4.0,(556),IT Services & Consulting,Bangalore / Bengaluru +16 other locations
1898,Allianz Services,4.2,(555),Insurance,Thiruvananthapuram +13 other locations
1899,Kiya.ai,3.7,(555),IT Services & Consulting,Mumbai +18 other locations
1900,Voyants Solutions,3.7,(554),Engineering & Construction,Gurgaon / Gurugram +92 other locations
1901,Solara Active Pharma Sciences,3.7,(554),Pharma,Visakhapatnam +19 other locations
1902,Maxop Engineering Co.,4.1,(554),Auto Components,Gurgaon / Gurugram +15 other locations
1903,Alcon,3.8,(553),Medical Equipment,Bangalore / Bengaluru +38 other locations
1904,Vyapar,3.6,(554),Software Product,Bangalore / Bengaluru +39 other locations
1905,Z X Learning,4.3,(553),EdTech,Lucknow +89 other locations
1906,Paras Dairy,3.5,(553),Food Processing,New Delhi +59 other locations
1907,DB Schenker,4.3,(553),Logistics,Gurgaon / Gurugram +40 other locations
1908,Empower,4.0,(552),Financial Services,Bangalore / Bengaluru +12 other locations
1909,Bajaj Consumer Care,3.8,(552),FMCG,Mumbai +111 other locations
1910,Country Delight,3.8,(552),Food Processing,Gurgaon / Gurugram +35 other locations
1911,Kauvery Hospital,4.0,(552),Healthcare,Chennai +21 other locations
1912,HUDL,3.2,(552),Software Product,Mumbai +17 other locations
1913,Mr Cooper,4.0,(551),Financial Services,Chennai +11 other locations
1914,Renault,4.1,(550),Automobile,Chennai +147 other locations
1915,Congruex Asia Pacific,3.7,(550),Engineering & Construction,Mohali +24 other locations
1916,ArcelorMittal,4.1,(548),Iron & Steel,Surat +49 other locations
1917,Inox Wind,3.8,(548),Power,Noida +41 other locations
1918,Kellogg Brown and Root,4.1,(548),Engineering & Construction,Chennai +36 other locations
1919,General Motors,4.1,(548),Automobile,Pune +36 other locations
1920,Avaada Group,4.2,(549),Power,Noida +65 other locations
1921,MITS Global Consulting,4.6,(548),Recruitment,Mumbai +12 other locations
1922,Western Refrigeration,3.8,(547),Industrial Machinery,Vapi +40 other locations
1923,"DATAMARK, Inc.",3.5,(547),BPO,Chennai +13 other locations
1924,Unimoni,3.9,(547),FinTech,Chennai +134 other locations
1925,Practo,3.0,(547),Internet,Bangalore / Bengaluru +24 other locations
1926,Gayatri Projects,3.9,(547),Engineering & Construction,Hyderabad / Secunderabad +71 other locations
1927,Navin Fluorine International,3.8,(547),Chemicals,Surat +17 other locations
1928,UTL Solar,3.6,(546),Electronics Manufacturing,New Delhi +76 other locations
1929,Mahendra NextWealth IT,3.4,(546),IT Services & Consulting,Salem +26 other locations
1930,BUSINESSNEXT,3.5,(546),Software Product,Noida +9 other locations
1931,Harman Finochem,3.7,(546),Pharma,Aurangabad +15 other locations
1932,Iron Mountain Inc,3.8,(546),IT Services & Consulting,Bangalore / Bengaluru +48 other locations
1933,Andritz Hydro Location India,3.8,(546),Chennai +28 other locations,
1934,Sandoz,4.0,(545),Pharma,Hyderabad / Secunderabad +20 other locations
1935,Dhani Healthcare,3.5,(545),FinTech,Gurgaon / Gurugram +81 other locations
1936,Marelli,3.6,(545),Auto Components,Gurgaon / Gurugram +18 other locations
1937,QSpiders,3.7,(545),Education & Training,Bangalore / Bengaluru +26 other locations
1938,Virtual Employee,3.3,(545),Recruitment,Noida +22 other locations
1939,Carlsberg,4.0,(545),Beverage,Gurgaon / Gurugram +66 other locations
1940,Bharti Infratel,4.7,(544),Telecom,Gurgaon / Gurugram +71 other locations
1941,Kirloskar Pneumatic,4.0,(544),Industrial Machinery,Pune +21 other locations
1942,RMC Readymix,3.6,(544),Building Material,Mumbai +67 other locations
1943,FiveS Digital,3.4,(544),BPO,Jamshedpur +27 other locations
1944,Infinity Learn,4.2,(545),EdTech,Hyderabad / Secunderabad +17 other locations
1945,Paramount Health Services Tpa,3.8,(544),Insurance,Mumbai +38 other locations
1946,Enco Engineers Combine,3.7,(543),Auto Components,Gurgaon / Gurugram +17 other locations
1947,Wow Momo Foods,3.5,(542),Hospitality,Kolkata +52 other locations
1948,Innominds Software,3.2,(541),IT Services & Consulting,Hyderabad / Secunderabad +7 other locations
1949,MAQ Software,2.8,(541),IT Services & Consulting,Noida +10 other locations
1950,L & W Constructions,3.8,(541),Engineering & Construction,Bangalore / Bengaluru +19 other locations
1951,Yokohama,3.6,(541),Auto Components,Bahadurgarh +44 other locations
1952,Utility Powertech,3.8,(540),Power,New Delhi +92 other locations
1953,Prestige Group,4.3,(540),Real Estate,Bangalore / Bengaluru +30 other locations
1954,Groupm Media,3.7,(541),Marketing & Advertising,Gurgaon / Gurugram +28 other locations
1955,Laxmi Organic Industries,3.9,(541),Chemicals,Mahad +19 other locations
1956,RAK Ceramics,3.8,(540),Building Material,Kakinada +59 other locations
1957,Maini Precision Products,3.4,(540),Auto Components,Bangalore / Bengaluru +11 other locations
1958,Hi Tech Gears,4.0,(539),Auto Components,Bhiwadi +29 other locations
1959,Roop Polymers,4.0,(539),Auto Components,Gurgaon / Gurugram +26 other locations
1960,The Times of India,3.6,(539),Media & Entertainment,New Delhi +53 other locations
1961,Motilal Oswal Wealth Management,4.4,(539),Financial Services,Mumbai +25 other locations
1962,Roop Polymers,4.0,(539),Auto Components,Gurgaon / Gurugram +26 other locations
1963,Hi Tech Gears,4.0,(539),Auto Components,Bhiwadi +29 other locations
1964,Offshore Infrastructures,4.2,(540),Engineering & Construction,Mumbai +51 other locations
1965,BLK Super Speciality Hospital,3.9,(538),Healthcare,New Delhi +16 other locations
1966,Vestige,4.3,(538),Fitness & Wellness,New Delhi +111 other locations
1967,Datamatics Business Solutions,3.4,(538),Management Consulting,Mumbai +13 other locations
1968,RuralShores,3.6,(537),BPO,Bangalore / Bengaluru +47 other locations
1969,Craftsman Automation,3.8,(537),Auto Components,Coimbatore +25 other locations
1970,SAEL Industries Limited,3.9,(536),Power,New Delhi +62 other locations
1971,CompuCom,3.8,(536),IT Services & Consulting,Pune +7 other locations
1972,Propertypistol Realty,3.7,(536),Internet,Mumbai +25 other locations
1973,RadiSys,3.8,(536),Telecom,Bangalore / Bengaluru +11 other locations
1974,Eicher Motors,4.1,(536),Automobile,Indore +96 other locations
1975,Ambit Finvest,3.9,(535),NBFC,Mumbai +107 other locations
1976,Bharat Fritz Werner,3.8,(535),Industrial Machinery,Bangalore / Bengaluru +18 other locations
1977,C5i,4.1,(535),Analytics & KPO,Bangalore / Bengaluru +16 other locations
1978,CTS Consulting & Technical Support,3.7,(534),Engineering & Construction,Chennai +31 other locations
1979,Insuremile,4.8,(534),Internet,Bangalore / Bengaluru +16 other locations
1980,Maxgen Technologies,4.5,(534),IT Services & Consulting,Pune +8 other locations
1981,Sulzer,3.9,(533),Industrial Machinery,Pune +25 other locations
1982,Titan Engineering & Automation,3.8,(533),Engineering & Construction,Hosur +16 other locations
1983,Stock Holding Corporation of India,3.6,(533),Financial Services,Mumbai +101 other locations
1984,GSPANN Technologies,4.1,(532),IT Services & Consulting,Hyderabad / Secunderabad +9 other locations
1985,S P Singla Constructions,3.5,(532),Engineering & Construction,Patna +62 other locations
1986,Infiniti Research,3.4,(532),Bangalore / Bengaluru +8 other locations,
1987,Castrol,4.3,(532),Petrochemicals,Mumbai +123 other locations
1988,LendingKart,3.5,(533),NBFC,Ahmedabad +44 other locations
1989,AM Infoweb,3.9,(532),BPO,Pune +8 other locations
1990,House Of Anita Dongre,4.2,(532),Fashion & Textile,Mumbai +47 other locations
1991,Kidzee,3.9,(531),EdTech,Kolkata +116 other locations
1992,Zolo,3.3,(531),Internet,Bangalore / Bengaluru +24 other locations
1993,NMDC Limited,4.2,(530),Metals & Mining,Jagdalpur +41 other locations
1994,Micron Electricals,4.0,(530),Engineering & Construction,Bangalore / Bengaluru +18 other locations
1995,5paisa Capital Ltd.,4.2,(530),Financial Services,Mumbai +9 other locations
1996,DM Immigration Consultant,1.0,(530),Other,Bangalore / Bengaluru +3 other locations
1997,Macawber Beekay,4.2,(530),Industrial Machinery,Noida +57 other locations
1998,Wellness Forever Medicare,3.8,(529),Retail,Mumbai +41 other locations
1999,Tracxn,2.8,(529),Internet,Bangalore / Bengaluru +11 other locations
2000,Systra Consulting,3.9,(529),Engineering & Construction,New Delhi +40 other locations
2001,MR.DIY,3.3,(529),Retail,Mumbai +82 other locations
2002,Reliance Life Sciences,3.5,(528),Clinical Research,Mumbai +34 other locations
2003,Capital Business Systems,3.6,(528),IT Services & Consulting,New Delhi +110 other locations
2004,Jaipur Rugs,4.3,(527),Fashion & Textile,Jaipur +20 other locations
2005,Dusters Total Solutions Services,3.9,(527),Facility Management Services,Bangalore / Bengaluru +61 other locations
2006,Fena,4.1,(526),FMCG,New Delhi +84 other locations
2007,Sterling,4.0,(527),Healthcare,Mumbai +63 other locations
2008,Emaar India Limited,3.6,(525),Real Estate,Gurgaon / Gurugram +18 other locations
2009,Welspun Enterprises,4.1,(526),Engineering & Construction,Mumbai +48 other locations
2010,Celebi Aviation Holding,3.9,(525),Aviation,Mumbai +15 other locations
2011,CDK Global,3.8,(525),IT Services & Consulting,Hyderabad / Secunderabad +7 other locations
2012,Anudip Foundation,3.7,(525),Non-Profit,Kolkata +62 other locations
2013,Canon,3.9,(524),Consumer Electronics & Appliances,Gurgaon / Gurugram +65 other locations
2014,Chaayos,3.4,(524),Retail,New Delhi +22 other locations
2015,Hitachi Cash Management Services,3.4,(524),Other,Mumbai +95 other locations
2016,OMICS International,2.5,(523),Printing & Publishing,Hyderabad / Secunderabad +6 other locations
2017,ExxonMobil,3.8,(523),Oil & Gas,Bangalore / Bengaluru +38 other locations
2018,Quikr,3.5,(522),Internet,Bangalore / Bengaluru +24 other locations
2019,Vimta Labs,3.4,(522),Clinical Research,Hyderabad / Secunderabad +29 other locations
2020,N.C.L. Industries,3.7,(523),Building Material,Hyderabad / Secunderabad +69 other locations
2021,Mecon,3.9,(522),Metals & Mining,Ranchi +49 other locations
2022,Uttar Pradesh Power Corporation,4.0,(522),Power,Lucknow +89 other locations
2023,Foray Software,3.4,(522),IT Services & Consulting,Hyderabad / Secunderabad +17 other locations
2024,Allianz Partners,3.8,(522),Insurance,Gurgaon / Gurugram +19 other locations
2025,Scaler Academy,3.4,(522),EdTech,Bangalore / Bengaluru +8 other locations
2026,DFM Foods,4.0,(522),FMCG,New Delhi +78 other locations
2027,Karvy Data Management Services,3.9,(521),Analytics & KPO,Hyderabad / Secunderabad +81 other locations
2028,FMC Corporation,3.9,(521),Agro Chemicals,Bharuch +117 other locations
2029,Ralson Tyres Limited,3.6,(521),Auto Components,Ludhiana +52 other locations
2030,Zycus Infotech,2.6,(521),Software Product,Mumbai +9 other locations
